WARNING::17-04-2025 | 17:38:18 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:38:18 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:38:18 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:38:18 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:38:19 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `brightness-button`
WARNING::17-04-2025 | 17:38:19 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `brightness-button`
WARNING::17-04-2025 | 17:38:19 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `brightness-button`
WARNING::17-04-2025 | 17:38:19 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `brightness-button`
WARNING::17-04-2025 | 17:38:45 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:38:45 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:39:05 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:39:05 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:39:42 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:39:42 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:41:31 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:41:31 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:41:31 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:41:31 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:41:31 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `brightness-button`
WARNING::17-04-2025 | 17:41:31 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `brightness-button`
WARNING::17-04-2025 | 17:42:27 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:42:27 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:42:27 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:42:27 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:46:23 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:46:23 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:46:23 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:46:23 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:48:53 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:48:53 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:48:53 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `widgets+common_button+CommonButton`
WARNING::17-04-2025 | 17:48:53 -> `popover_factory` cannot be a lambda expression. Skipping popover for button `datetime`
WARNING::17-04-2025 | 17:48:57 -> [WaylandWindow] showing an empty window is not recommended, some compositors might freak out.
